sentId,sentence,label
21254340-w-msf010611-2-sentence,"Prior to transplantation only 5% of the patients were diagnosed with metabolic syndrome, but rates of obesity, hypertriglyceridemia, hypertension, and diabetes were significantly higher post transplantation.",1
21266374-esoc-tni012411-0-title,Traffic noise increases the risk of having a stroke,3
21266374-esoc-tni012411-1-sentence,"Exposure to noise from road traffic can increase the risk of stroke, particularly in those aged 65 years and over, according to a study published online today (Wednesday 26 January) in the European Heart Journal 1].",3
21266374-esoc-tni012411-2-sentence,"The study, which is the first to investigate the links between road traffic noise and the risk of stroke, found that for every 10 decibels more noise the risk of having a stroke increased by 14% among the 51,485 study participants.",1
21274869-w-piw012511-0-title,Patients infected with HIV have higher drop out rate for liver transplantation,1
21274869-w-piw012511-1-sentence,"French researchers determined that infection with human immunodeficiency virus (HIV) impaired results of transplant surgery for liver cancer, with more HIV infected patients dropping off the transplantation wait list.",3
21274869-w-piw012511-2-sentence,The team found that overall survival and recurrence-free survival was not impacted following liver transplantation in patients with controlled HIV disease.,3
21282262-jhmi-scu012711-0-title,Safety checklist use yields 10 percent drop in hospital deaths,3
21282262-jhmi-scu012711-2-sentence,"Although prior research showed a major reduction in central-line related bloodstream infections at hospitals using the checklist, the new study is the first to show its use directly lowered mortality.",3
21285425-sumc-mr012711-0-title,Many rheumatoid arthritis patients not getting recommended drugs  Stanford researcher finds,0
21285425-sumc-mr012711-1-sentence,"Many patients with rheumatoid arthritis, a crippling disease that causes pain, swelling and eats away at the joints, aren't receiving the much-needed, low-cost medications that can prevent deformity.",0
21285425-sumc-mr012711-2-sentence,"Despite medical guidelines recommending that patients receive early and aggressive treatment for rheumatoid arthritis with these medications, only 63 percent of Medicare-managed care patients diagnosed with the disease received any amount of the prescription drugs, according to a new study led by a researcher from the Stanford University School of Medicine that will be published Feb. 2 in the Journal of the American Medical Association.",0
21285999-dai-edt012411-0-title,Egg donation  The way to happy motherhood  with risks and side effects,3
21285999-dai-edt012411-1-sentence,Women who have become pregnant after egg donation should be categorized as high-risk patients.,1
21285999-dai-edt012411-2-sentence,"Why that is the case, and which consequences egg donation may have for women is the subject of a review article by Ulrich Pecks and co-authors from the University Hospital Aachen in the current issue of Deutsches &#196;rzteblatt International (Dtsch Arztebl In 2011; 1083]: 23-31).",0
21286838-s-dw020211-0-title,Drugs warning    check the label,0
21286838-s-dw020211-1-sentence,"A new study highlights inconsistencies in black box warnings - medication-related safety warnings on a drug's label - and argues for a more transparent and systematic approach to ensure these warnings are consistent across all drugs within a same category, and any additions to warnings, on the back of a drug withdrawal for example, are done within a reasonable and uniform time period.",0
21286838-s-dw020211-2-sentence,The work by Orestis Panagiotou and John Ioannidis and colleagues from the University of Ioannina School of Medicine in Greece and Stanford University School of Medicine in the USA is published in Springer's journal Journal of General Internal Medicine.,0
21289523-iaft-lnd022411-0-title,Lymph node dissection is not essential in small screen detected lung cancers  new research shows,0
21289523-iaft-lnd022411-1-sentence,"Lymph node dissection,  the current standard surgical treatment for localized non-small cell lung cancers, may be unnecessary in certain screen-detected early stage cases , according to a study published in the March issue of the Journal of Thoracic Oncology (JTO), the official journal of the International Association for the Study of Lung Cancer.",0
21289523-iaft-lnd022411-2-sentence,"The risk of nodal involvement is very low in early-stage cancers with a maximum standard uptake value (maxSUV) of 2.0 or a nodule smaller than 10 millimeters, researchers found.",1
21290580-w-bso051911-0-title,Better scheduling of admissions can reduce crowding at children s hospitals,3
21290580-w-bso051911-1-sentence,Too many admissions at a hospital at one time can put patients at risk.,0
21290580-w-bso051911-2-sentence,"A new study published today in the Journal of Hospital Medicine suggests that ""smoothing"" occupancy over the course of a week could help hospitals reduce crowding and protect patients from crowded conditions.",2
21300951-smh-not021011-0-title,New online tool predicts probability of death from stroke,1
21300951-smh-not021011-1-sentence,Researchers at St. Michael's Hospital and the Institute for Clinical and Evaluative Sciences (ICES) in Toronto have developed a new tool that will help doctors predict the probability of death in patients after an ischemic stroke.,1
21300951-smh-not021011-2-sentence,"The study, published in the journal Circulation, found that the tool determined the likelihood of death in stroke patients 30 days and one year after an ischemic stroke.",1
21300992-bmj-ama020411-0-title,As many as 3 in 4 hospital tests not followed up after discharge,0
21300992-bmj-ama020411-1-sentence,"Up to three quarters of hospital tests are not being followed up, suggests a systematic review of international evidence, published in BMJ Quality and Safety.",0
21300992-bmj-ama020411-2-sentence,"This failure can have serious implications for patients, including missed or delayed diagnoses and even death, the study shows.",0
21301855-fj-foy021811-0-title,Fountain of youth from the tap,0
21301855-fj-foy021811-1-sentence,"Professor Dr. Michael Ristow's team along with Japanese colleagues from universities in Oita and Hiroshima have demonstrated by two independent approaches that even a low concentration of lithium leads to an increased life expectancy in humans as well as in a model organism, the roundworm Caenorhabditis elegans.",3
21301855-fj-foy021811-2-sentence,The research team presents its results in the online edition of the scientific publication European Journal of Nutrition which is now online (see hyperlink below).,0
21320113-w-hds022211-0-title,Health care disparities seen in epilepsy patients with low socioeconomic status,1
21320113-w-hds022211-1-sentence,"A newly published report reveals patients with epilepsy and low socioeconomic status (SES) are more likely to have uncontrolled seizures, drug-related side effects, and a lower overall quality of life.",1
21320113-w-hds022211-2-sentence,The study also indicates that low SES patients used the hospital emergency room more often and had more visits to a general practitioner than epileptic patients at higher socioeconomic levels.,1
21335512-uoh-cra021711-0-title,Competing risks analysis highlights new targets in preventing ESRD and death of diabetics,3
21335512-uoh-cra021711-1-sentence,Patients with both type 1 diabetes and CKD have an increased risk of adverse outcomes.,1
21335512-uoh-cra021711-2-sentence,"Despite aggressive treatment, many patients with type 1 diabetes and overt nephropathy develop End-Stage Renal Disease (ESRD) and/or succumb to a premature death.",1
21343404-uobc-aac022211-0-title,Americans and Canadians get different drug information online  UBC study,0
21343404-uobc-aac022211-1-sentence,"Americans and Canadians are getting vastly different search results when they look up prescription drug information online, says a study by researchers at the University of British Columbia.",0
21343404-uobc-aac022211-2-sentence,Residents of the United States searching on Google for both brand and generic drug names get directed to the government-run National Library of Medicine.,0
21343578-ghri-smc021711-0-title,Screening mammograms catch second breast cancers early,1
21345405-usmc-asa032911-0-title,Annual sonograms are needed to verify correct IUD position  UT Southwestern obstetricians say,0
21345405-usmc-asa032911-1-sentence,A retrospective study of women who became pregnant while using intrauterine devices shows that more than half of the IUDs were malpositioned.,1
21345405-usmc-asa032911-2-sentence,"Though the displacement may have occurred over time, a UT Southwestern Medical Center researcher suggests that routine sonograms after IUD placement would in the least confirm proper initial positioning.",0
21345517-ghsu-cim021012-0-title,Cochlear implants may be safe  effective for organ transplant patients,2
21345517-ghsu-cim021012-1-sentence,"Cochlear implants may be a safe, effective option for some organ transplant patients who've lost their hearing as an unfortunate consequence of their transplant-related drug regime, researchers report.",2
21345517-ghsu-cim021012-2-sentence,"The antibiotics and immunosuppressive drugs required by organ transplant patients can cause deafness,  said Dr. Brian J. McKinnon, otologist and neurotologist at the Medical College of Georgia at Georgia Health Sciences University.",3
21368677-nlmc-031011-0-title,Acquisition of robotic technology leads to increased rates of prostate cancer surgery,3
21368677-nlmc-031011-1-sentence,"A new study conducted by researchers at NYU Langone Medical Center and Yale School of Medicine shows that when hospitals acquire surgical robotic technology, men in that region are more likely to have prostate cancer surgery.",1
21368677-nlmc-031011-2-sentence,"The study, ""The Association between Diffusion of the Surgical Robot and Radical Prostatectomy Rates"", was published this week in the online edition of the journal Medical Care.",1
21371666-acor-huo022311-0-title,Hospital use of virtual colonoscopy is on the rise  study suggests,0
21371666-acor-huo022311-1-sentence,This release is also available in Chinese on EurekAlert!,0
21388673-wfub-lui030311-0-title,Laboratory grown urethras implanted in patients  scientists report,0
21388673-wfub-lui030311-1-sentence,Researchers at the Institute for Regenerative Medicine at Wake Forest University Baptist Medical Center and colleagues reported today on a new advance in tissue engineering.,0
21388673-wfub-lui030311-2-sentence,The team is the first in the world to use patients' own cells to build tailor-made urinary tubes and successfully replace damaged tissue.,0
21393483-ason-dmi030711-0-title,Depression may increase the risk of kidney failure,2
21393483-ason-dmi030711-1-sentence,"Depression is associated with an increased risk of developing kidney failure in the future, according to a study appearing in an upcoming issue of the Clinical Journal of the American Society Nephrology (CJASN).",1
21393483-ason-dmi030711-2-sentence,Approximately 10% of the US population will suffer from depression at some point during their lifetime.,0
21393590-aha-cdl030711-0-title,Coffee drinking linked to reduced stroke risk in women,1
21393590-aha-cdl030711-1-sentence,"Drinking more than a cup of coffee a day was associated with a 22 percent to 25 percent lower risk of stroke, compared with those who drank less, in a study reported in Stroke: Journal of the American Heart Association.",1
21393590-aha-cdl030711-2-sentence,"Low or no coffee consumption was associated with an increased risk of stroke in a study of 34,670 women (ages 49 to 83) followed for an average 10.4 years.",1
21397355-usmc-usr060711-0-title,UT Southwestern research uncovers genetic link between emphysema  lung cancer,1
21397355-usmc-usr060711-1-sentence,"A gene linked to emphysema also can be a factor for developing lung cancer unrelated to cigarette smoking, UT Southwestern Medical Center research indicates.",1
21397355-usmc-usr060711-2-sentence,Smoking was the only known risk factor previously associated with both diseases.,0
21400128-afot-ltd051111-0-title,Lessening the dangers of radiation,0
21400128-afot-ltd051111-1-sentence,"For diagnosing head and neck ailments, tests that use radiation are always less desirable than those that don't.",0
21400128-afot-ltd051111-2-sentence,"Otolaryngologists have a wide range of techniques available to them, including CT or ""CAT"" scans, MRI and ultrasound.",0
21401836-w-pws033111-0-title,Patients with severe non inflammatory respiratory disease face anemia risk,1
21401836-w-pws033111-2-sentence,"""The links between chronic obstructive pulmonary disease and anaemia are already well known, but our study also shows that anaemia is frequently found in patients with severe non-inflammatory respiratory diseases"" says lead author Dr Florian Kollert from the Department of Rheumatology and Clinical Immunology, University Medical Centre, Freiburg, Germany.",1
21406281-nch-nns030211-0-title,New national study finds boxing injuries on the rise  youth head injury rates also concerning,0
21406281-nch-nns030211-1-sentence,"The risk and nature of injury in the sport of boxing has generated a great deal of controversy in the medical community, especially in relation to youth boxing.",0
21406281-nch-nns030211-2-sentence,"A new study, conducted by researchers in the Center for Injury Research and Policy of The Research Institute at Nationwide Children's Hospital, examined boxing injuries among participants 6 years of age and older from 1990 to 2008.",0
21410372-uoc--roh031611-0-title,Risk of hospital patient mortality increases with nurse staffing shortfalls  study finds,1
21410372-uoc--roh031611-2-sentence,The goal for any hospital is to ensure that each of its patient-care units has an adequate number of nurses during every shift.,0
21410446-uoc--fna040611-0-title,Frailty not a factor in adverse drug reactions among seniors  study finds,1
21410446-uoc--fna040611-1-sentence,"Contrary to popular belief among physicians, frailty in elderly patients is not associated with an increased risk of adverse reactions to medications, according to a study led by Michael Steinman, MD, a geriatrician at the San Francisco VA Medical Center.",1
21410446-uoc--fna040611-2-sentence,The study of 377 patients age 65 or older appears in the online Early View section of the Journal of the American Geriatrics Society.,0
21412759-uoc--fcs033011-0-title,Frequent CT scanning for testicular cancer surveillance associated with secondary malignancies,1
21412759-uoc--fcs033011-1-sentence,UC Davis cancer researchers have found that older men with early-stage testicular cancer who opt for surveillance with regular CT scans over lymph node removal are at greater risk for secondary cancers.,1
21412759-uoc--fcs033011-2-sentence,"The findings, published online last week in the journal Cancer, indicate that physicians should consider the risk of new cancers with surveillance when discussing treatment options with their patients.",0
21414059-uoca-sr011811-0-title,Selective strategy  recommended for CT scans in emergency departments,0
21414059-uoca-sr011811-1-sentence,Emergency medicine researchers with the University of Cincinnati (UC) are advocating a new strategy for diagnosing a common but dangerous condition in the emergency room.,0
21414059-uoca-sr011811-2-sentence,"Pulmonary embolism, or PE, is a potentially lethal disease in which a blood clot, usually from the legs, travels to the lungs and becomes lodged in a pulmonary artery.",0
21415101-bmj-nsa031611-0-title,New study adds weight to diabetes drug link to heart problems,1
21415101-bmj-nsa031611-1-sentence,A new study published on bmj.com today adds to mounting evidence that rosiglitazone -  a drug used to treat type 2 diabetes - is associated with an increased risk of major heart problems.,1
21415101-bmj-nsa031611-2-sentence,"It finds that rosiglitazone is associated with significantly higher odds of congestive heart failure, heart attack and death compared with a similar drug (pioglitazone).",1
21422085-chop-mug032111-0-title,Medically underserved girls receive less frequent evaluation for short stature,1
21422085-chop-mug032111-1-sentence,"Primary care doctors are less likely to refer short girls than short boys for diagnostic testing that can reveal underlying medical reasons for their short stature, according to a new study of an urban pediatric population in Philadelphia.",1
21422085-chop-mug032111-2-sentence,"Girls with medical conditions causing their short stature may go undiagnosed, or may be diagnosed later than boys, limiting timely treatment.",1
21423586-wt-tfr031111-0-title,Treatments for recurring TB infection failing the developing world  study finds,0
21423586-wt-tfr031111-2-sentence,"In a study published today in the open access journal PLoS Medicine, researchers call for improved access to rapid diagnostics for drug resistant TB, second-line TB treatment and antiretroviral HIV therapy.",0
21425429-w-amb062211-0-title,Angioplasty may be feasible for liver transplantation candidates with heart disease,2
21425429-w-amb062211-1-sentence,"A small, retrospective study determined that percutaneous coronary intervention (PCI) was safe in patients with significant coronary artery disease (CAD) who were referred for liver transplantation.",0
21425429-w-amb062211-2-sentence,Larger studies are needed to determine the effectiveness of angioplasty in patients with end-stage liver disease (ESLD).,0
21429702-uomh-soh050911-0-title,Supply of hospice services strongly associated with local area s median household income,1
21429702-uomh-soh050911-1-sentence,This release is available in Spanish.,0
21429702-uomh-soh050911-2-sentence,"Ann Arbor, Mich. -- Wealth, population size, race and age associate with the supply of hospice care available in a county, according to a study published in the Journal of Pain and Symptom Management this month.",1
21429899-bmj-rtp032311-0-title,Road traffic pollution doubles risk of rejection after lung transplant,3
21429899-bmj-rtp032311-1-sentence,"Lung transplant patients have double the risk of organ rejection and death within five years of the procedure if they live near a main road, indicates research published online in Thorax.",1
21429899-bmj-rtp032311-2-sentence,The Belgian researchers tracked the health of 281 patients who had undergone a lung transplant or retransplant at the same hospital between 1997 and 2008 until 2009.,0
21435407-kp-scc050511-0-title,Study challenges concerns on effectiveness of administering pneumococcal  shingles vaccines together,0
21435407-kp-scc050511-1-sentence,"Administering both the pneumococcal and the herpes zoster vaccines to patients during the same visit is beneficial and does not appear to compromise the protective effect of the zoster vaccine, according to a Kaiser Permanente study published today in the journal Vaccine.",3
21435407-kp-scc050511-2-sentence,The study's findings challenge information in the zoster vaccine manufacturer's package insert.,0
21444323-bmj-esl040611-0-title,Epileptic seizures linked to significant risk of subsequent brain tumor,1
21444323-bmj-esl040611-1-sentence,"Epileptic seizures can precede the development of a subsequent brain tumour by many years, suggests research published online in the Journal of Neurology, Neurosurgery and Psychiatry.",1
21444323-bmj-esl040611-2-sentence,"The risk seems to be greatest among those aged between 15 and 44 when first admitted  to hospital for an epileptic seizure, the findings show.",1
21444835-aha-amr032311-0-title,Ambulatory monitoring reveals many patients have  white coat  hypertension,0
21444835-aha-amr032311-1-sentence,"A third of patients thought to have resistant hypertension had ""white coat"" hypertension during 24-hour ambulatory monitoring, in a large study reported in Hypertension: Journal of the American Heart Association.",1
21444835-aha-amr032311-2-sentence,"In ambulatory blood pressure monitoring, the patient's blood pressure is checked at regular intervals under normal living and working conditions.",0
21444879-aha-ahr032311-0-title,Avoiding health risks could prevent more than half of all cases of atrial fibrillation,2
21444879-aha-ahr032311-1-sentence,"Reducing cardiovascular risk factors like high blood pressure, smoking, diabetes and being overweight could potentially reduce more than half of all cases of atrial fibrillation, according to research reported in Circulation: Journal of the American Heart Association.",2
21444879-aha-ahr032311-2-sentence,"More than 2 million Americans live with atrial fibrillation (AF), an irregular heart rhythm that occurs when the heart's two upper chambers beat erratically, causing the chambers to pump blood rapidly, unevenly and inefficiently.",0
21447636-ohs-srh060211-0-title,Study reveals how high fat diet during pregnancy increases risk of stillbirth,3
21447636-ohs-srh060211-2-sentence,"The new data show eating a typical American diet, which is high in fat, decreases blood flow from the mother to the placenta, the temporary organ that nourishes the unborn fetus.",3
21454298-jhmi-rcc033111-0-title,Remove children s catheters as soon as possible to prevent bloodstream infections,3
21454298-jhmi-rcc033111-2-sentence,"The findings will be presented on Saturday, April 2, at the annual meeting of the Society for Healthcare Epidemiology of America.",0
21463767-wsw-sbi052311-0-title,Shave biopsy is a safe and acceptable method for initial evaluation of melanoma,0
21463767-wsw-sbi052311-1-sentence,"A shave biopsy is a reasonably safe and accurate method for the initial diagnosis of melanoma, according to a study published in the April issue of the Journal of the American College of Surgeons.",0
21463767-wsw-sbi052311-2-sentence,"In the past, some physicians have criticized shave biopsies for not providing accurate T (tumor) stage information, thereby complicating treatment planning.",0
21464047-aha-scd033011-0-title,Sudden cardiac death affects about 1 in 44 000 NCAA athletes a year,0
21464047-aha-scd033011-1-sentence,"About one in 44,000 National Collegiate Athletic Association athletes has sudden cardiac death each year, according to a new study in Circulation: Journal of the American Heart Association.",0
21464047-aha-scd033011-2-sentence,"The death rate -- higher than many estimates for young athletes -- could influence health screening guidelines for youths in organized sports, researchers said.",2
21470009-bawh-bmi040411-0-title,Body mass index in adolescence associated with early occurrence of diabetes and heart disease,1
21470009-bawh-bmi040411-2-sentence,The findings are published in the April 7 issue of the New England Journal of Medicine.,0
21479924-uoc--aim041911-0-title,ACE inhibitors may increase risk of recurrence in breast cancer survivors,2
21479924-uoc--aim041911-1-sentence,"ACE inhibitors, commonly used to control high blood pressure and heart failure in women, may be associated with an increased risk of recurrence in women who have had breast cancer, according to a study by researchers at UCLA's Jonsson Comprehensive Cancer Center.",1
21479924-uoc--aim041911-2-sentence,"Beta blockers, used to control high blood pressure and cardiac arrhythmias, appear to have a protective effect, helping to prevent recurrence.",2
21483716-plos-omo040111-0-title,Off label marketing of medicines in the US is rife but difficult to control,0
21483716-plos-omo040111-1-sentence,"Despite Federal Drug Administration regulation of the approval and use of pharmaceutical products, ""off-label"" marketing of drugs (for purposes other than those for which the drug was approved) has occurred in all aspects of the US health care system.",0
21483716-plos-omo040111-2-sentence,"In a study published in this week's PLoS Medicine, Aaron S. Kesselheim from Brigham and Women's Hospital, Boston, USA and colleagues report that the most common alleged off-label marketing practices also appear to be the most difficult to control through external regulatory approaches.",0
21488075-w-gvi062811-0-title,Gene variant increases fatty liver risk and fibrosis progression,3
21488075-w-gvi062811-1-sentence,New research confirms that a variant on the patatin-like phospholipase-3 (PNPLA3) gene increases risk of steatosis and fibrosis progression in patients with chronic hepatitis C virus (HCV).,3
21488075-w-gvi062811-2-sentence,The PNPLA3 single nucleotide polymorphism (SNP) rs 738409 may represent an important genetic predictor and potential therapeutic target in chronic HCV liver damage.,1
21490316-aaon-pot042611-0-title,Packing on the pounds in middle age linked to dementia,1
21490316-aaon-pot042611-1-sentence,"According to a new study, being overweight or obese during middle age may increase the risk of certain dementias.",2
21490316-aaon-pot042611-2-sentence,"The research is published in the May 3, 2011, print issue of Neurology&reg;, the medical journal of the American Academy of Neurology.",0
21493211-aaoo-eod022511-0-title,Effects of depression on quality of life improvement after endoscopic sinus surgery,3
21493211-aaoo-eod022511-1-sentence,"Depression is a common problem in patients with chronic rhinosinusitis (CRS) and negatively impacts patients' symptom burden, ability to function, and quality of life (QOL), according to new research published in the March 2011 issue of Otolaryngology - Head and Neck Surgery.",3
21493211-aaoo-eod022511-2-sentence,"Nearly 14 percent of Americans suffer from chronic sinusitis and may have the following symptoms for 12 weeks or more; facial pain/pressure, facial congestion/fullness, nasal obstruction/blockage, thick nasal discharge/discolored post-nasal drainage, and periodic high fever.",0
21493350-aaoo-frp042211-0-title,FATE results prove to be useful in end of life care,0
21493350-aaoo-frp042211-1-sentence,"Though there have been significant improvements in the treatment of head and neck cancer, there is still a lack of data on the experience of end of life care for head and neck cancer patients, according to a new study published in the May 2011 issue of Otolaryngology-Head and Neck Surgery.",0
21493350-aaoo-frp042211-2-sentence,"As discussed in this study, the United States Department of Veterans Affairs group has developed the Family Assessment of Treatment at the End of life (FATE) survey, which is administered to families of deceased veterans.",0
21493773-ason-arm041211-0-title,Antibody response may lead to narrowed arteries and organ rejection,2
21493773-ason-arm041211-1-sentence,"Kidney transplant recipients who develop antibodies in response to receiving new organs can develop accelerated arteriosclerosis, or narrowing of the arteries that supply blood to the kidney, according to a study appearing in an upcoming issue of the Journal of the American Society Nephrology (JASN).",3
21493773-ason-arm041211-2-sentence,The results indicate that arteriosclerosis resulting from such donor-specific antibodies may play an important role in organ rejection following transplantation.,2
